Date,Mean_AOD
2024-01-01,-999.0
2024-01-02,-999.0
2024-01-03,-999.0
2024-01-04,-999.0
2024-01-05,-999.0
2024-01-06,-999.0
2024-01-07,-776.5967
2024-01-08,-999.0
2024-01-09,-999.0
2024-01-10,-665.5025
2024-01-11,-332.3473
2024-01-12,0.5930829
2024-01-13,-999.0
2024-01-14,-665.4495
2024-01-15,0.717325
2024-01-16,-999.0
2024-01-17,-999.0
2024-01-18,-999.0
2024-01-19,-999.0
2024-01-20,-999.0
2024-01-21,-999.0
2024-01-22,-999.0
2024-01-23,-999.0
2024-01-24,-999.0
2024-01-25,-887.8704
2024-01-26,-999.0
2024-01-27,0.06329962
2024-01-28,-999.0
2024-01-29,-887.9025
2024-01-30,-887.7443
2024-01-31,-999.0
2024-02-01,-999.0
2024-02-02,-999.0
2024-02-03,-887.98395
2024-02-04,-999.0
2024-02-05,-999.0
2024-02-06,-999.0
2024-02-07,-110.90154
2024-02-08,-665.9305
2024-02-09,0.08775073
2024-02-10,0.19716834
2024-02-11,0.25539732
2024-02-12,0.36719835
2024-02-13,-999.0
2024-02-14,0.32164863
2024-02-15,0.26320025
2024-02-16,0.25199383
2024-02-17,0.27767447
2024-02-18,0.4873371
2024-02-19,-776.426
2024-02-20,-221.10905
2024-02-21,0.62178934
2024-02-22,0.45071113
2024-02-23,0.337636
2024-02-24,0.55963576
2024-02-25,-554.5588
2024-02-26,-999.0
2024-02-27,0.6930422
2024-02-28,0.42239386
2024-02-29,0.3899423
2024-03-01,1.0209308
2024-03-02,-221.36334
2024-03-03,-999.0
2024-03-04,0.40443647
2024-03-05,0.49747694
2024-03-06,-999.0
2024-03-07,0.5129075
2024-03-08,1.1645706
2024-03-09,0.45769775
2024-03-10,0.5763094
2024-03-11,0.5107896
2024-03-12,0.5182353
2024-03-13,0.5532101
2024-03-14,0.5041079
2024-03-15,0.5218842
2024-03-16,0.98140746
2024-03-17,0.7945174
2024-03-18,0.50363564
2024-03-19,0.49126244
2024-03-20,0.5342281
2024-03-21,0.6284655
2024-03-22,0.56579125
2024-03-23,0.6121242
2024-03-24,-999.0
2024-03-25,0.5263105
2024-03-26,1.395332
2024-03-27,-331.92978
2024-03-28,1.5870461
2024-03-29,1.3501422
2024-03-30,1.1791219
2024-03-31,1.2378879
2024-04-01,-331.3801
2024-04-02,1.3385285
2024-04-03,-999.0
2024-04-04,1.5308228
2024-04-05,2.0979831
2024-04-06,1.7885941
2024-04-07,-109.4623
2024-04-08,1.6546474
2024-04-09,-109.261604
2024-04-10,1.7099142
2024-04-11,1.9863358
2024-04-12,-665.37616
2024-04-13,-887.669
2024-04-14,-999.0
2024-04-15,-887.7575
2024-04-16,2.0667062
2024-04-17,-108.86113
2024-04-18,2.1590002
2024-04-19,2.1352105
2024-04-20,-108.70386
2024-04-21,-999.0
2024-04-22,2.01691
2024-04-26,1.6106744
2024-04-27,1.8543112
2024-04-28,-776.4407
2024-04-29,1.8136461
2024-04-30,-887.89966
2024-05-01,-887.9134
2024-05-02,-887.9131
2024-05-03,-999.0
2024-05-04,-887.892
2024-05-05,-887.92914
2024-05-06,-887.95483
2024-05-07,-887.9133
2024-05-08,-887.9487
2024-05-09,-887.9486
2024-05-10,-887.93414
2024-05-11,-887.8571
2024-05-12,-887.8642
2024-05-13,-887.90656
2024-05-14,-887.92145
2024-05-15,-887.94415
2024-05-16,-887.9457
2024-05-17,-887.92926
2024-05-18,-887.93555
2024-05-19,-887.9209
2024-05-20,-887.87683
2024-05-22,-887.9198
2024-05-23,-887.92896
2024-05-24,-776.85913
2024-05-25,-887.93835
2024-05-26,-776.88794
2024-05-27,-776.87445
2024-05-28,-776.83167
2024-05-29,-776.7571
2024-05-30,-776.7881
2024-05-31,-887.87
2024-06-01,-999.0
2024-06-02,-776.8367
2024-06-03,-776.8327
2024-06-04,-999.0
2024-06-05,-776.5399
2024-06-06,-776.7471
2024-06-07,-776.7957
2024-06-08,-999.0
2024-06-09,-776.81793
2024-06-10,-776.8417
2024-06-11,-887.86804
2024-06-12,-776.8877
2024-06-13,-776.8078
2024-06-14,-776.6288
2024-06-15,-776.7832
2024-06-16,-776.8454
2024-06-17,-776.8208
2024-06-18,-776.7844
